id;frame_url;image_count;positions
1;https://raw.githubusercontent.com/punkestu/photobox-frames/main/fearless.png;4;[{'x':'118','y':'33','w':'802','h':'193'},{'x':'118','y':'258','w':'802','h':'193'},{'x':'118','y':'482','w':'802','h':'193'},{'x':'118','y':'705','w':'802','h':'193'}]
2;https://raw.githubusercontent.com/punkestu/photobox-frames/main/soreajaog.png;2;[{'x':'53','y':'30','w':'932','h':'320'},{'x':'53','y':'398','w':'932','h':'320'}]
